Timestamp,How would you rate the usability of the web page?,How would you rate the visual appeal of the web page?,"In terms of usability, what score would you give to the following features? [Uploading tracks]","In terms of usability, what score would you give to the following features? [Plotting track on the map]","In terms of usability, what score would you give to the following features? [Flying to subsequent tracks]","In terms of usability, what score would you give to the following features? [Speed-Elevation Plotting]","In terms of usability, what score would you give to the following features? [Summary statistics]","In terms of usability, what score would you give to the following features? [Accessibility options]",Which feature did you find the most difficult to use and why?,How do you think the usability of that feature could be improved?,"In terms of visual appeal, what score would you give to the data visualisation features below? [Plotting track on the map]","In terms of visual appeal, what score would you give to the data visualisation features below? [Speed-Elevation Plotting]","In terms of visual appeal, what score would you give to the data visualisation features below? [Summary statistics]",The design of which feature did you find the most appealing visually and why?,The design of which feature did you find the visually least appealing and why?,How do you think the design of that feature could be improved?,How would you rate the ability of the below data visualisation tools to portray meaningful information about the uploaded geographical data? [Plotting track on the map],How would you rate the ability of the below data visualisation tools to portray meaningful information about the uploaded geographical data? [Speed-Elevation Plotting],How would you rate the ability of the below data visualisation tools to portray meaningful information about the uploaded geographical data? [Summary statistics],Which data visualisation feature did you find the most informative and why?,Which data visualisation feature did you find the least informative and why?,How do you think that feature could be made more informative?,How would you rate the likeliness of you recommending the website to your friends?,What new feature would you add to the website and why?,Is there anything else that you would like to mention about the web page that could/should be improved?
11/22/2018 16:18:02,5,4,Very Good,Very Good,Good,Very Good,Very Good,Good,Moving between tracks,A previous track button would be helpful in addition to the next track button,Very Good,Very Good,Good,The speed and elevation plotting,There's a quote in Hungarian (?) which overlaps with the title of the track being viewed,remove the quote or adjust the ui so that there is no overlap,Very Good,Very Good,Very Good,The average and total distance were informative that is the most important information and the colour coding helped to convey it,The summary statistics as a bar char was perhaps not the best choice for displaying this data,Use a pie chart so the ratios are more easily seen.,8,Perhaps the average elevation would be good to know? The ability to compare two different tracks?,
11/22/2018 16:46:18,4,5,Good,Very Good,Very Good,Good,Average,Good,"Graph above the map, it is pretty small",Clicking on the track should notify you with the stats for that point,Very Good,Very Good,Good,Map is very readable,"The bar showing the colour of the speed, it is not obvious what does it represent",It could be displayed on a chart with comparison to other trainings,Good,Good,Good,the map,"the statistics summary, i thought the elevation would show the changes in elevation where it showed the distance instead",the mapcould display the popup markers,9,categorizing the trainings by sport discipline ,
11/22/2018 18:43:04,4,3,Very Good,Good,Poor,Good,Very Good,Good,"next track wasnt too clear to me, the colored icons are closer to upload rather than next track","bigger icons for next tracks, center it between upload and next track perhaps, better choice of color for tracks as well",Average,Good,Very Good,the stats are really well displayed,the uploaded track icons can be improved,stated above,Average,Good,Very Good,speed and distance,elevation and speed graph above map,"split the graph perhaps, the two lines are completely different dimensions and it can be a bit misleading, having different units on different sides of the graph is a bit confusing as well",8,markers maybe for start point and end point as the track seems a bit directionless (maybe its just my gpx file not working properly),
11/22/2018 19:06:16,4,2,Good,Good,Average,Good,Average,Good,The options on the side bar are very large and cover the page  making the graphs tiny,A collapsible options bar  ,Average,Good,Average,The map as it was dynamically switching between tracks,The graphs ,could be clearer and grouped together ,Good,Good,Good,The bar graph as it was clear and concise  ,the line graph as there is too much going on in a small space,reduce the size of the map a little and group the graphs together ,8,different colour schemes as night mode is very popular and a high contrast colour scheme would improve accessibility ,
11/23/2018 11:47:22,4,3,Good,Good,Very Good,Good,Average,Good,"Not being able to select a specific uploaded file, have to scroll through others to get to a file.",The colored boxes that show the color of the uploaded file below the Upload button can have links that set the view of the map to that specific file.,Good,Good,Good,"The graph of the elevation and speed, gives very informative details about the file","The map just seems out of place, doesn't fit in with the design of the rest of the app.",Have a blue border? Put it in a container etc.,Average,Good,Average,"The speed, elevation graphs because they show detailed info for each time point","The plot on the map itself, doesn't show much info other than just the plot itself","The line can have markers that show info at that point or the line itself can have properties such as color that change according to values of elevation, speed etc?",7,More info in the graph,
11/23/2018 12:02:03,3,5,Very Good,Very Good,Average,Average,Very Good,Very Good,It was not clear how to use next track no instructions given,"More guidance needed on how to use next track, accessibility button should be bigger as it is not noticeable at all (maybe make it white?)",Very Good,Good,Very Good,Distance travelled (pie chart) is clear and big,"Speed & elevation graph is too small, not possible to see the sped very well (only 2 y labels present)","Let graph take more space, have more y labels",Very Good,Average,Very Good,"Pie chart, clear info","Speed graph, as mentioned before y axis has two labels",More labels,8,"Add a switch to go to different views, all data presentations on one page is a bit too much","Accessibility is not visible, next track button not really clear how to use"
11/23/2018 12:20:36,5,5,Very Good,Good,Very Good,Very Good,Good,Very Good,"the coloured bar ranges from blue to green, difficult to distinguish",you could make the top graph for speed-elevation a lot larger.,Very Good,Very Good,Average,uploading several files and viewing them all at once.,the bar with average speed and distance raging from blue to green,wider colour range,Very Good,Very Good,Good,"viewing the files on the map ( nice scaling, nice colour choices)","average speed and distance (again, colours)","the files have their own names given ( eg. Milngavie Ward Running), ",9,footer for contact :D,brilliant work guys!
11/23/2018 12:20:52,5,5,Very Good,Very Good,Very Good,Average,Very Good,Good,The speed-elevation graph because it is very crowded and hard to read,provide ability to zoom in on graph,Very Good,Poor,Very Good,Pie chart - great animation and tooltip appears after hovering over a section,The speed-elevation graph because it is very crowded and hard to read,provide ability to zoom in on graph,Very Good,Poor,Very Good,"The track on the map itself - it zooms in very well when uploading a new track, telling the user exactly where the hike/walk took place",The gradient bar (green to blue) which shows the colour of the average speed. This doesn't seem very useful to me.,Show a different piece of information with the colour.,8,Feature to remove an uploaded track,"Everything is great, except for the speed-elevation graph"
11/23/2018 12:37:15,5,5,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,I can press the bold font but then I can change it back to normal,To be able to return to the normal font (without the font being bold),Very Good,Very Good,Very Good,The possibility of uploading 5 files and changing them is a very good feature and it has a good design,n/a,n/a,Very Good,Very Good,Very Good,Speed-Elevation Plotting,n/a,n/a,10,You can add more statistics like heart rate and cadence; more graphs ,Good job
11/23/2018 12:38:12,5,5,Very Good,Very Good,Good,Very Good,Very Good,Good,NA,NA,Very Good,Good,Good,"I like how you ""fly"" from one track to the other",the blue to green bar is quite big and looks like it carries important information but it is only explaining the colour of the above number,I like the speed-elevation plot but it looks a bit squeezed especially when the distance is longer,Very Good,Good,Good,"Speed-elevation, it is nice to have them on the same graph to see how the elevation directly impacts speed","the blue to green scale under the total distance, i am not sure it is very helpful",Maybe it doesn't need to be that big because it is only an explanation about the colour,10,"be able to click on one of the little square directly to show a map instead of the ""next track"" button",
